Model,Accuracy,Recall,Specificity,Precision,F1-Score,AUC-ROC,Healthcare_Score,FP,FN,TP,TN
global_classifier_round10.keras,0.90875,0.04,0.9367741935483871,0.02,0.02666666666666667,0.6499612903225807,0.034666666666666665,49,24,1,726
global_classifier_round13.keras,0.7225,0.04,0.7445161290322581,0.005025125628140704,0.008928571428571428,0.37889032258064526,0.027571428571428573,198,24,1,577
global_classifier_round8.keras,0.70375,0.64,0.7058064516129032,0.06557377049180328,0.11895910780669144,0.7140129032258064,0.4315836431226766,228,9,16,547
global_classifier_round23.keras,0.5975,0.92,0.5870967741935483,0.06705539358600583,0.125,0.8311741935483871,0.6020000000000001,320,2,23,455
global_classifier_round6.keras,0.47875,0.8,0.46838709677419355,0.046296296296296294,0.087527352297593,0.6251870967741935,0.5150109409190372,412,5,20,363
global_classifier_round5.keras,0.42875,0.44,0.42838709677419357,0.024229074889867842,0.04592901878914405,0.39865806451612906,0.28237160751565765,443,14,11,332
global_classifier_round2.keras,0.425,0.48,0.4232258064516129,0.026143790849673203,0.049586776859504134,0.4627612903225806,0.30783471074380164,447,13,12,328
global_classifier_round1.keras,0.1075,0.92,0.08129032258064516,0.031292517006802724,0.060526315789473685,0.47009032258064515,0.5762105263157895,712,2,23,63
