Client,Samples,Accuracy,Precision,Recall,F1-Score
1,1240,0.8491935483870968,0.844059405940594,0.7333333333333333,0.7848101265822784
2,1240,0.6895161290322581,0.7040816326530612,0.2967741935483871,0.4175491679273828
3,1240,0.867741935483871,0.8052738336713996,0.853763440860215,0.8288100208768268
4,1240,0.707258064516129,0.6624203821656051,0.44731182795698926,0.5340179717586649
